Feature,Importance,Standard_Deviation
Contract,0.05856158122132782,0.008040143509425075
InternetService,0.03501669251920517,0.009332423733703849
tenure,0.029449770894601213,0.003010003642270795
TotalCharges,0.016266733232888075,0.003652286228378704
TenureGroup,0.011324372222090318,0.007307803687161215
PaperlessBilling,0.004789886285620881,0.0077892090057449905
MultipleLines,0.003340245841541134,0.004280926273370048
MonthlyCharges,0.002568542604476809,0.0025204457779230732
PaymentMethod,0.002506226342984391,0.0066262039644634195
SeniorCitizen,0.0019539229650753775,0.0017152773805255985
Partner,0.0006829039138952775,0.0019863958843343446
StreamingTV,0.0006614845474910425,0.004570454807761276
Dependents,-0.0008691372201390934,0.0027775023195230754
OnlineBackup,-0.0009143138315005628,0.004967354594020511
NumOptionalServices,-0.001559873209379864,0.0018676544168211458
OnlineSecurity,-0.0018276171650202233,0.0035903498951539883
PhoneService,-0.0023483763711760197,0.0008306583659447972
StreamingMovies,-0.002750228888575318,0.004720591876938538
DeviceProtection,-0.0030231046775820447,0.0012731507369321633
TechSupport,-0.00352106953220388,0.0038618748791432096
gender,-0.0038924868952764646,0.0030413490862435323
